area,short names,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,total_emissions_agr_9,118.2797,121.7607,121.7607,122.7093,122.3902,122.4451,115.2166,108.3488,109.7541,112.5138,121.6474,136.0742,118.235,118.0187,120.9006,120.7184,120.4302,120.6811,113.8764,107.428,103.3394,99.4716,94.4352,91.1294,86.5536,83.7351,86.9495,81.4537,79.1409,78.3322,80.1601,73.5039,89.1839,94.1035,92.9657,89.1839,90.1522,92.0965,82.2494,76.8634,67.3809,68.3922,98.7758,87.369,100.9086,94.4724,95.5935,86.1655,100.509,97.2956,93.555,98.8283,100.1956,102.8283,85.5188,89.2428,81.2944,62.1106,
ALB,total_emissions_agr_9,16.7578,15.1245,15.5178,15.6034,15.8377,15.3544,15.6901,13.8546,13.1267,13.4448,13.5314,14.2845,13.698,13.5005,13.0301,13.1869,13.1085,13.1869,14.0179,14.5291,13.9395,13.4738,12.8654,12.856,12.2657,12.4068,12.4856,12.0313,11.6945,11.3562,8.013,8.1675,10.5628,11.1844,9.828,9.0585,9.065,8.8563,7.7302,7.6675,7.2128,6.849,6.6365,6.2218,6.3756,6.1913,5.8264,6.457,6.3284,6.5668,6.9688,6.4837,6.4272,6.5071,6.4633,6.7999,6.6874,6.2833,
DZA,total_emissions_agr_9,53.5168,59.2249,60.2355,69.012,68.9952,46.8835,63.0463,70.2607,69.4878,72.5849,67.8792,77.9753,74.0065,69.3151,70.023,72.1652,59.962,58.547,61.0888,65.0925,57.0571,51.5261,44.2056,48.7568,52.482,47.8211,47.5115,32.2638,46.2945,37.2847,54.2798,58.0009,39.4081,28.0492,52.7532,71.5,25.8976,80.8477,43.0714,25.9828,57.6358,43.8885,64.2527,63.083,50.3329,55.9822,57.0976,31.5942,57.9953,55.0793,52.4753,61.0811,54.2031,51.8699,56.9728,64.7407,66.6006,65.6313,
AGO,total_emissions_agr_9,43.9079,43.6492,42.9083,42.7829,39.9017,39.9213,41.4979,43.0573,48.8706,41.4814,42.971,43.7237,48.4786,48.757,48.6041,48.9726,48.9216,48.8314,48.7256,48.4434,48.3218,48.1729,48.0365,47.9863,47.9079,63.5314,67.3221,71.2421,68.4902,52.2289,59.1395,67.1109,82.7633,65.4601,48.1914,45.5081,49.4209,54.2793,53.5136,54.5871,59.1485,64.6544,65.0784,84.7605,86.5894,89.0714,96.0293,70.8282,116.8144,118.6139,136.0532,47.8407,130.303,129.4356,133.1695,206.8776,251.7972,212.3463,
ATG,total_emissions_agr_9,0.265,0.2525,0.2614,0.2285,0.1733,0.0646,0.0643,0.0162,0.0525,0.058,0.1882,0.0031,0.0011,0.0014,0.0025,0.0022,0.0014,0.0016,0.0039,0.0049,0.0052,0.0068,0.003,0.0013,0.0016,0.0016,0.002,0.0022,0.0022,0.0016,0.0024,0.0023,0.0023,0.0023,0.0022,0.0023,0.0023,0.0024,0.0024,0.0024,0.0025,0.0025,0.0027,0.003,0.003,0.0031,0.0032,0.0033,0.0033,0.0031,0.0035,0.0034,0.0035,0.0035,0.0036,0.0036,0.0037,0.0037,
ARG,total_emissions_agr_9,367.1327,346.4138,399.0638,439.3944,400.0347,434.5847,465.1806,460.357,455.31,445.1889,467.5561,418.4044,420.7989,424.8167,424.9041,450.9833,350.4896,382.799,395.3061,375.1232,473.2052,500.0889,476.1926,444.8237,450.6802,427.3817,397.6655,357.1462,314.6466,306.8225,350.0082,348.2647,348.4675,360.8461,385.7089,382.2785,517.5111,455.7949,395.2304,459.7285,445.2423,426.074,393.8462,386.332,431.6151,372.881,421.1894,476.6078,346.3655,355.2924,464.1953,461.293,506.1791,516.8773,547.8572,572.7916,715.4977,772.515,
ARM,total_emissions_agr_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1558,3.1652,2.8051,2.0733,2.8342,3.5515,3.8824,3.6764,3.5425,3.6083,3.9938,4.2143,4.1498,4.2485,3.3403,3.3634,3.2212,2.983,2.9289,2.7163,3.1725,3.3685,3.5104,3.6495,3.6464,2.7065,2.19,
AUS,total_emissions_agr_9,201.5478,224.8415,225.2832,244.9576,240.4678,283.1143,303.8826,359.5171,314.991,222.373,244.2239,258.6563,298.7175,279.9108,288.6653,302.4476,335.3516,341.7309,372.0386,377.7829,397.8144,387.7451,429.5151,405.1951,395.1413,376.2196,306.7056,301.8637,306.5481,314.6261,250.2763,285.8108,288.5165,273.8307,317.2736,373.3425,360.3056,393.949,419.7328,414.2912,414.7405,395.9744,379.0011,440.9563,450.2022,420.1462,395.4851,419.2794,449.6204,460.5984,447.2607,463.137,434.8797,422.0838,415.2156,381.9247,414.2812,371.7736,
AUT,total_emissions_agr_9,12.6798,12.7243,12.5163,12.795,12.563,14.178,14.637,15.3602,18.1727,18.3471,18.3913,18.9911,19.8778,20.0996,19.7254,21.6016,21.9652,22.901,23.198,23.5551,23.4231,24.5539,26.1168,26.0886,26.3204,27.1594,26.2968,24.8763,23.944,24.2541,23.0284,21.2345,20.8798,21.6266,21.6161,23.55,22.9119,21.7169,22.0546,23.9374,24.3052,24.4159,23.9284,24.8936,23.9293,23.1301,24.3518,26.269,25.3929,25.2666,26.5646,26.8891,25.1532,26.5128,24.2972,25.1889,25.675,25.634,
AZE,total_emissions_agr_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5578,16.4945,15.0371,14.0372,15.0367,17.3313,16.75,15.6499,18.224,20.4932,22.8593,21.1612,21.8718,21.1358,20.1298,18.0521,21.5995,27.8797,22.9997,23.2146,24.423,24.7308,21.9479,19.7873,21.4399,21.7092,23.9173,
BHS,total_emissions_agr_9,0.0118,0.0141,0.0188,0.022,0.0259,0.0547,0.0733,0.0698,0.057,0.0815,0.047,0.1149,0.1117,0.118,0.134,0.1448,0.1404,0.1309,0.136,0.1309,0.1411,0.1415,0.1286,0.1388,0.1294,0.1192,0.1145,0.1258,0.1309,0.136,0.127,0.1102,0.1113,0.1105,0.1003,0.1054,0.1023,0.1066,0.1156,0.1373,0.1607,0.12,0.1098,0.1098,0.1098,0.125,0.125,0.1254,0.125,0.1243,0.1246,0.1246,0.1245,0.1255,0.125,0.1236,0.1233,0.1238,
BGD,total_emissions_agr_9,374.0378,383.2611,397.7051,407.2075,412.9582,401.1383,437.187,431.2619,457.0653,439.902,413.4158,426.5992,436.4726,433.8342,457.3985,437.7889,444.9626,449.5269,454.4462,465.9628,477.3415,481.5347,444.7543,465.9132,478.2069,482.8232,472.0676,468.6985,478.4328,478.2971,470.5071,466.6897,456.7443,456.4617,458.5302,470.9049,473.8751,470.8403,498.7302,500.9168,494.1126,498.2868,495.3661,474.294,484.5565,486.6689,487.9789,522.6661,518.4391,526.8352,527.7056,524.7299,527.3891,535.2647,535.2741,519.5782,549.1216,560.5811,
BRB,total_emissions_agr_9,1.0403,1.0386,0.9828,1.0709,1.0769,1.0832,1.1061,1.0996,1.0884,1.0783,1.0521,0.965,1.0147,0.9145,0.8807,0.8697,0.8634,0.8679,0.8692,0.8832,0.8679,0.867,0.7793,0.7875,0.7711,0.7726,0.7166,0.6519,0.6327,0.6015,0.5896,0.5237,0.4496,0.5607,0.4455,0.4775,0.4756,0.4437,0.4296,0.4524,0.4305,0.4117,0.3849,0.3637,0.3693,0.3493,0.3293,0.3593,0.3538,0.2873,0.2863,0.2596,0.2255,0.1971,0.1623,0.0909,0.1424,0.15,
BLR,total_emissions_agr_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7789,4.5315,3.3242,5.637,8.7181,9.5178,11.7522,13.1775,15.1939,13.7357,12.5534,10.8534,11.5002,14.0537,14.9992,21.7389,24.9705,25.0311,27.6582,34.6318,37.2006,37.3004,32.0429,26.9293,32.0154,32.71,34.382,
BEL,total_emissions_agr_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4895,8.8623,10.0634,10.1301,10.7712,10.9567,10.7433,10.4426,12.2714,11.5544,11.4734,11.9443,12.1774,12.145,11.5922,10.9004,10.5518,10.0385,10.3693,
BLZ,total_emissions_agr_9,0.8206,0.6049,0.6384,0.8033,0.8434,0.9472,1.1404,1.3984,1.2454,1.4842,1.5477,1.7004,1.5854,1.9196,2.1114,2.2632,2.25,2.2065,2.1464,2.2036,2.3071,2.2645,2.1365,2.2493,2.4134,2.1456,2.3904,2.4171,2.314,2.1163,2.3032,2.2971,2.452,2.37,2.6864,2.6433,2.831,2.5878,2.5328,2.4507,2.3138,2.555,2.4834,2.6492,2.8588,2.4886,2.7521,2.7211,3.2045,2.9917,2.955,2.7139,3.0461,3.0175,3.2355,3.6091,3.6092,3.613,
BEN,total_emissions_agr_9,29.5426,35.3472,32.5092,32.9672,30.1993,29.0722,31.8833,29.4193,27.6024,29.8481,27.5176,29.8391,26.0896,23.9011,25.3714,20.9571,24.4918,34.9709,33.6244,28.9617,34.2656,33.3321,35.8397,37.0757,38.573,35.0355,31.0409,38.4498,37.8665,36.275,36.7746,37.2539,39.1326,38.1077,38.9686,40.8371,46.3967,47.4067,49.8613,52.3213,50.1054,55.0218,53.0444,57.155,60.5629,56.4559,55.9883,69.5161,69.3676,74.0492,66.7243,76.4652,83.6938,79.1614,81.5409,82.0097,89.7157,96.6348,
BTN,total_emissions_agr_9,3.6405,3.7514,3.8545,3.9655,4.0764,4.1826,4.2967,4.4657,4.5797,4.686,4.8,4.9141,5.0282,5.1344,5.2485,5.3626,5.4719,5.586,5.7001,5.8302,5.927,6.0181,6.2726,6.257,6.1356,6.1395,6.0376,4.628,4.627,4.6514,4.772,4.6185,4.9851,5.1621,5.5401,5.6095,5.5799,5.502,5.0435,3.7167,4.133,3.0028,3.0774,2.6382,3.7957,3.7423,4.4675,3.1792,3.3823,3.0271,3.3754,3.0194,2.9626,2.8837,2.7265,2.7708,3.0604,3.1035,
BOL,total_emissions_agr_9,20.478,21.22,22.8889,23.3464,21.441,21.1966,20.6266,22.7412,23.8461,23.6591,23.5983,23.0412,23.4643,24.177,26.3356,26.6707,28.4396,29.4831,30.6734,32.4515,33.8394,31.4862,28.3003,36.8699,39.3268,34.1946,34.0326,32.6655,31.8423,30.0169,34.6999,35.7714,36.4536,35.0925,35.8981,36.1614,33.3476,37.2785,39.4167,38.853,38.2661,39.3759,38.2273,40.0435,43.9549,44.1177,48.0724,53.6727,53.5919,49.4086,50.0813,48.5149,54.5637,56.1612,55.355,52.6296,54.2381,58.3852,
BIH,total_emissions_agr_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5232,13.7572,11.8384,9.4864,13.2496,19.2062,20.5071,19.723,19.5633,18.9806,18.4262,17.5445,17.8562,17.9432,17.6857,17.7981,18.0338,16.9185,16.5111,17.1955,17.3099,16.9819,15.1914,16.9988,17.2697,17.427,17.3306,
BWA,total_emissions_agr_9,0.1129,0.7348,0.6322,0.1002,0.4532,2.2981,1.0789,2.3227,3.6651,2.3812,1.9584,0.7511,3.9278,5.4965,3.1445,6.2805,5.1054,3.5374,1.6636,3.655,4.6648,1.8894,1.5523,0.2744,0.635,0.7056,0.439,2.595,4.116,3.2029,2.8906,1.246,1.7381,5.002,1.5828,7.8516,6.205,2.0287,2.6884,6.536,1.9692,4.3822,0.6039,3.3939,5.4939,4.7389,1.3906,3.8169,6.4845,5.1264,7.9517,4.3944,3.5489,8.169,1.1648,4.3697,4.0008,4.8773,
BRA,total_emissions_agr_9,778.4077,818.5715,886.1456,916.2844,997.771,960.8473,1023.8488,1060.0647,1085.4365,1134.9244,1191.7945,1186.3299,1142.2636,1220.1741,1272.0977,1376.3398,1397.8655,1324.6998,1371.9047,1397.7795,1370.5252,1495.0141,1295.8233,1413.9206,1413.3126,1541.2083,1644.991,1609.1322,1549.6309,1365.3019,1480.7786,1525.3043,1364.1745,1532.0076,1545.5031,1377.6776,1409.7788,1260.2038,1363.606,1370.7789,1409.425,1383.4712,1507.6638,1508.9985,1444.2072,1489.7758,1622.9817,1744.3271,1709.7352,1642.3791,1711.4253,1771.7923,1884.399,1930.7694,1892.945,1846.4507,2031.8026,1920.6746,
BRN,total_emissions_agr_9,0.1223,0.1221,0.1216,0.1121,0.1082,0.1056,0.1501,0.1501,0.1574,0.149,0.1179,0.1066,0.1087,0.145,0.1568,0.1587,0.1222,0.1039,0.0915,0.0859,0.0788,0.0688,0.073,0.0906,0.0376,0.0311,0.0438,0.0384,0.0302,0.0259,0.0237,0.0259,0.0151,0.0203,0.0134,0.0116,0.0154,0.018,0.0164,0.0198,0.0207,0.022,0.0298,0.0326,0.042,0.0472,0.0584,0.0561,0.0746,0.0797,0.0692,0.0775,0.0552,0.0417,0.0398,0.0437,0.0397,0.0338,
