area,short names ,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ABW,employment_agri_female,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,employment_agri_female,80.27799988,83.94300079,87.22100067,89.55200195,88.56900024,88.19300079,88.08100128,87.75299835,87.1780014,86.26200104,85.23200226,83.52999878,83.02899933,80.94100189,81.41100311,80.38200378,78.93299866,76.83300018,78.16400146,75.63400269,73.53299713,72.83799744,72.65899658,72.60700226,72.41000366,72.6210022,73.71399689
AGO,employment_agri_female,48.41500092,46.69300079,52.94900131,51.83200073,51.46500015,49.7179985,48.72200012,46.52600098,47.83499908,46.93799973,45.22700119,46.56700134,45.71900177,44.40800095,45.44599915,46.26100159,46.10300064,47.24399948,51.16400146,54.41199875,58,57.71300125,56.40399933,56.09999847,55.99300003,56.24200058,57.59700012
ALB,employment_agri_female,73.84600067,78.56199646,80.11599731,79.53600311,79.20600128,76.55699921,73.61699677,75.82800293,75.15399933,73.6190033,73.02300262,71.83200073,70.80599976,69.28700256,67.44799805,65.98100281,61.82500076,60.95600128,57.22100067,54.11000061,54.31200027,58.64199829,53.91600037,50.4640007,47.79700089,47.27199936,46.93999863
AND,employment_agri_female,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,employment_agri_female,0.057999998,0.057999998,0.061999999,0.061000001,0.061999999,0.061000001,0.059,0.059999999,0.066,0.068999998,0.071999997,0.071999997,0.072999999,0.078000002,0.097000003,0.101000004,0.119999997,0.152999997,0.034000002,0.021,0.016000001,0.013,0.011,0.01,0.011,0.013,0.032000002
ARG,employment_agri_female,0.137999997,0.317999989,0.301999986,0.240999997,0.358999997,0.216000006,0.250999987,0.221000001,0.224999994,0.231000006,0.280999988,0.456,0.968999982,0.966000021,0.717999995,0.486999989,0.386999995,0.347000003,0.39199999,0.375999987,0.284000009,0.282000005,0.224000007,0.153999999,0.149000004,0.172000006,0.148000002
ARM,employment_agri_female,40.37599945,37.81399918,50.93399811,53.73699951,54.64699936,52.50899887,49.95600128,53.7820015,51.47499847,51.55099869,52.42300034,52.18600082,50.04499817,48.43700027,47.05599976,45.60300064,43.90299988,45.32300186,45.7480011,47.2840004,45.61899948,44.07500076,44.70800018,40.57899857,40.08800125,38.3429985,38.96500015
ATG,employment_agri_female,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,employment_agri_female,3.911000013,3.750999928,3.743000031,3.619999886,3.59800005,3.503000021,3.582000017,3.464999914,3.484999895,3.433000088,3.446000099,3.032999992,2.622999907,2.680999994,2.453999996,2.365999937,2.285000086,2.220000029,2.217000008,2.282999992,1.889000058,1.914999962,1.666000009,1.830000043,1.855000019,1.687999964,1.63499999
AUT,employment_agri_female,8.538000107,8.097000122,7.890999794,7.993000031,8.19299984,8.585000038,7.732999802,7.234000206,6.959000111,6.379000187,6.282000065,6.080999851,5.778999805,4.862999916,5.284999847,5.284999847,5.617000103,5.232999802,5.201000214,4.993000031,4.65500021,4.241000175,4.183000088,4.566999912,4.209000111,3.928999901,3.888999939
AZE,employment_agri_female,39.48899841,36.10400009,40.28099823,45.36399841,45.19499969,48.31700134,47.27899933,44.77799988,45.63499832,42.99200058,41.95700073,41.88100052,41.8219986,42.61600113,44.63399887,43.27500153,41.96099854,40.72999954,44.02700043,44.43099976,43.94499969,43.92900085,43.5379982,42.66199875,42.06100082,42.09500122,43.37099838
BDI,employment_agri_female,96.43399811,96.62599945,96.78199768,96.68900299,96.82499695,97.05500031,96.86699677,96.7559967,96.81900024,96.83300018,96.74900055,96.70700073,96.70300293,96.63800049,96.56500244,96.58999634,96.36000061,96.45899963,96.44000244,96.31300354,96.3769989,96.33899689,96.25099945,96.20800018,96.47799683,96.39700317,96.45600128
BEL,employment_agri_female,2.203999996,2.486999989,1.787999988,1.631000042,1.633000016,1.590000033,1.555999994,1.511999965,1.452999949,1.121999979,0.94599998,1.092000008,1.057999969,1.57099998,1.480000019,1.27699995,1.304999948,1.031000018,0.986999989,0.889999986,0.885999978,0.694000006,0.841000021,0.838,0.728999972,0.754000008,0.768000007
BEN,employment_agri_female,45.79600143,44.87900162,44.89699936,44.50500107,43.77700043,45.30599976,45.05899811,45.03900146,40.68799973,39.81800079,39.31100082,39.45999908,38.81299973,39.375,39.4980011,39.4109993,38.25600052,37.74000168,37.77000046,37.23799896,36.11899948,35.58800125,34.11500168,33.33599854,34.20100021,33.68000031,35.47800064
BFA,employment_agri_female,90.625,90.5,90.53199768,90.8010025,90.30500031,90.05200195,89.31999969,88.99900055,87.96499634,87.7009964,87.51000214,87.04100037,85.70200348,84.55000305,84.19000244,83.05899811,77.18499756,72.92700195,65.86699677,58.72100067,50.31299973,41.5320015,32.79299927,22.08200073,20.86199951,20.43600082,19.83200073
BGD,employment_agri_female,90.72599792,90.29100037,89.04100037,87.73600006,85.98699951,82.30799866,81.70700073,80.71499634,79.86599731,78.78700256,73.87599945,67.10900116,58.79499817,64.1740036,68.21299744,68.19400024,68.34799957,67.82299805,66.94999695,65.52600098,63.72600174,59.51800156,53.44400024,59.44400024,63.44599915,62.13399887,60.45800018
BGR,employment_agri_female,13.70400047,12.13500023,11.29399967,11.67099953,12.37800026,11.77600002,14.88899994,11.96500015,12.01599979,10.60099983,7.125,8.137000084,8.335000038,8.288000107,6.831999779,6.110000134,5.645999908,5.781000137,5.340000153,5.201000214,4.809000015,4.285999775,4.43900013,4.559999943,4.328999996,4.248000145,3.842999935
BHR,employment_agri_female,0.207000002,0.213,0.187999994,0.187999994,0.179000005,0.182999998,0.186000004,0.179000005,0.188999996,0.194000006,0.189999998,0.148000002,0.116999999,0.092,0.085000001,0.075000003,0.064999998,0.057999998,0.050999999,0.050000001,0.050999999,0.048,0.046999998,0.044,0.043000001,0.045000002,0.046
BHS,employment_agri_female,1.440000057,1.425999999,1.39199996,1.610000014,1.052999973,1.218999982,1.950999975,1.225999951,0.933000028,1.103000045,1.389999986,1.659000039,0.583000004,0.435000002,0.340999991,0.476999998,0.241999999,0.734000027,0.523999989,1.014000058,1.730000019,1.746000051,1.69599998,1.799999952,1.871999979,1.855999947,1.889999986
BIH,employment_agri_female,50.82600021,51.73199844,53.0530014,59.02799988,56.10699844,60.1590004,49.95199966,45.75299835,39.97100067,31.87800026,31.01600075,29.89500046,28.72200012,30.08600044,28.85700035,28.22599983,27.18499947,26.55800056,22.68799973,21.62100029,20.80900002,21.29599953,20.23800087,17.52700043,16.6779995,18.62100029,18.56299973
BLR,employment_agri_female,18.05500031,18.88500023,18.37400055,17.42900085,18.68000031,17.77099991,16.15299988,14.92599964,14.81400013,14.24100018,13.01599979,12.48700047,11.4289999,10.60200024,10.22799969,9.630999565,8.956000328,8.390999794,8.279000282,8.086000443,7.133999825,7.032000065,6.894000053,6.791999817,6.515999794,6.599999905,6.71600008
BLZ,employment_agri_female,6.223999977,4.936999798,4.510000229,4.355999947,5.80700016,4.826000214,5.854000092,5.015999794,6.140999794,5.491000175,4.954999924,4.402999878,3.937000036,3.594000101,3.249000072,3.121000051,3.16899991,3.328999996,3.463999987,3.553999901,3.651000023,3.859999895,4.223999977,4.355999947,4.748000145,3.075999975,3.188999891
BOL,employment_agri_female,41.14199829,40.57300186,39.95899963,39.88299942,39.27199936,38.33800125,38.60400009,37.07799911,37.03300095,37.25500107,42.23899841,39.09500122,34.41999817,34.44100189,35.95399857,35.63999939,35.5379982,31.33300018,30.75300026,30.56699944,30.39800072,27.28199959,29.19499969,31.37700081,28.31100082,27.85499954,26.90299988
BRA,employment_agri_female,22.96500015,24.04100037,23.48699951,24.23200035,22.04000092,19.3579998,19.80200005,19.00099945,20.11199951,16.34799957,15.99199963,16.36700058,15.93999958,15.89099979,15.87699986,14.875,13.75599957,13.00300026,12.07800007,11.23999977,11.07400036,5.899000168,5.665999889,5.209000111,5.051000118,4.756000042,4.888999939
BRB,employment_agri_female,4.388999939,4.135000229,4.546999931,4.313000202,3.592999935,4.297999859,4.035999775,3.621999979,3.269999981,3.273000002,3.548000097,3.115999937,3.599999905,2.451999903,0.344999999,2.713999987,2.532999992,2.507999897,2.075000048,1.952999949,2.209000111,2.167000055,1.63499999,1.376000047,1.549999952,1.843000054,1.848999977
BRN,employment_agri_female,1.638000011,1.332999945,1.133999944,0.962000012,0.828000009,0.742999971,0.635999978,0.569999993,0.467000008,0.39199999,0.342000008,0.338999987,0.312000006,0.326000005,0.328999996,0.31400001,0.317999989,0.338,0.344000012,0.361999989,0.372000009,0.393999994,0.435000002,0.44600001,0.469999999,0.479000002,0.419
