area,short names ,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ALB,value_added_Agr,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,value_added_Agr,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,value_added_Agr,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,value_added_Agr,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,value_added_Agr,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019,2.347019
AZE,value_added_Agr,,,,,,25.120435,24.71017,19.985563,17.946765,18.169681,,,,,,,,,,,,,,,,
BHS,value_added_Agr,1.214038,1.255054,0.992317,0.9343,0.949866,0.900017,1.055833,0.957252,0.849104,0.6663,0.731584,0.81124,0.726625,0.603067,0.447827,0.52277,0.607576,0.62548,0.716103,0.770812,0.623466,0.640129,0.602425,0.621384,0.603473,
BHR,value_added_Agr,,,0.548766,0.516357,0.502026,0.485268,0.485131,0.47393,0.510762,0.477818,0.408698,0.40068,0.367791,0.329154,0.242823,0.205616,0.145394,0.182045,0.163358,0.211774,0.201644,0.199664,0.190041,0.188326,0.201727,
BGD,value_added_Agr,,,22.66902,18.857621,17.909934,18.431726,17.649047,17.539693,17.221559,17.678257,16.987675,16.153558,15.01261,14.471151,14.054889,13.53136,12.801191,12.715386,12.745934,12.355792,12.424332,12.257964,11.762672,11.05153,12.67832,
BLR,value_added_Agr,,,,,,,,12.314645,11.056539,11.751309,11.153105,9.409173,9.200017,7.731085,7.991727,7.583268,7.593035,7.232544,7.599827,7.399104,7.172078,7.506484,7.765976,6.317738,6.760369,
BEL,value_added_Agr,,,,,,1.217394,1.242,1.25473,1.164527,0.987569,1.106528,1.040566,0.971916,0.968451,0.965415,0.78878,0.852318,0.830082,0.66883,0.61563,0.727004,0.606321,0.749884,0.67354,0.595256,
BLZ,value_added_Agr,,,,,,,,,,,10.435918,9.143663,8.697672,9.006779,9.375991,8.937692,9.083238,8.759351,8.238137,8.365899,8.967429,9.388493,10.735362,9.97771,10.174967,
BEN,value_added_Agr,,,,,,,,,,19.508182,19.15595,19.397942,20.287692,19.467583,21.533767,21.327311,21.578932,20.977423,20.950637,20.649251,19.500597,19.498755,19.056305,18.158293,17.532762,
BTN,value_added_Agr,,,,,,,,,,,20.188479,19.172585,17.916806,17.323227,17.182478,16.46554,15.715904,13.967593,14.03823,13.987388,13.296913,13.111917,12.962153,13.230303,14.135418,
BOL,value_added_Agr,,,,,,,,,,,,,,12.486824,12.443033,10.958301,10.195449,9.288314,9.660298,10.25015,9.440802,8.861855,8.863883,9.081544,8.927883,9.404101
BIH,value_added_Agr,,,,,,,,,,,,,,,,7.166825,6.923573,6.66724,6.161338,6.223811,5.93495,5.824312,5.203041,5.852887,4.954948,
BWA,value_added_Agr,,,3.779855,3.691331,3.271351,4.005304,3.226481,3.054685,2.75198,2.541674,2.331751,,,,,,,,,,,,,,,
VGB,value_added_Agr,,,,,,0.798151,0.781868,0.717544,0.680898,0.61806,,,,,,,,,,,,,,,,
BRN,value_added_Agr,,,,,,,,,,,,,,,,,,,,,0.375862,0.327078,0.3712,0.363336,0.409278,0.501009
BGR,value_added_Agr,,,,,,,,,13.238273,12.481708,10.619669,10.344997,9.430598,8.738469,8.098351,6.775034,5.64652,4.262717,5.430951,3.764442,3.700659,4.12727,4.111092,4.112391,4.063582,
BFA,value_added_Agr,,,,,,,,,,27.220785,26.960978,32.457077,32.320052,31.236169,28.609974,32.44615,30.905132,26.687068,33.334855,28.709123,29.030459,27.398296,27.989723,27.740016,,
BDI,value_added_Agr,,,,,,,,,,,,,,,,39.804589,39.493171,33.979334,36.891281,35.891577,37.115252,35.369674,34.09378,36.979093,,
