area ,short names ,1965,1970,1975,1980,1982,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AFG,water_withdrawal,,,,,,,,,99,,,,,,,,,,,,,98.62,,,,,,,,,,,,,,,,,
AGO,water_withdrawal,,,,,,,,,76.04,,,,,,,,,,,,,32.79,,,,,20.78,,,,,,,,,,,,
ALB,water_withdrawal,,,,,,,,,,,,83.33,,,,,,,,,,57.67,,,,,,39.48,,,,,,,,,,,
ARE,water_withdrawal,,,,80,,,,,,,,,,,,,66.79,,,,,78.48,,,,,82.84,,,,,,,,,,,,
ARG,water_withdrawal,,,,,,,,,,,,,,,,,75.3,,,,,,,,,,,,,,,,73.93,,,,,,
ARM,water_withdrawal,,,,,,,,,,,,,,,,,66.32,,,,,,,65.78,,,,,66.13,,,,,71.68,,,,,74.21
ATG,water_withdrawal,,,,,,,,,,,,20,,,,,,,,,,,,,,,15.48,,,,,,,15.65,,,,,
AUS,water_withdrawal,,,,,,,,,,,,,,,,,,69.85,,,,,69.26,,,,65.25,,,,,,,59.84,,,,,63.44
AUT,water_withdrawal,,,,2.693,,,5.587,,,,,2.627,,,,,,,2.744,,,,,2.726,,,,,,,,2.208,,,,,,,
AZE,water_withdrawal,,,,,,,,,,,,,,67.47,,,,,73.97,,,,,63.32,,,,,69.93,,,,,74.24,,,,,72.54
BDI,water_withdrawal,,,,,,,,,64,,,,,,,,,,,,,77.08,,,,,,,,,,,,,,,,,
BEL,water_withdrawal,,,,4,,,,,,,,,,,,,,,0.2081,,,,,0.5669,,,,,0.5935,,,,,0.5983,,,1.127,,
BEN,water_withdrawal,,,,,,,58.18,,,,,,,,,,,,,,,,45.38,,,,,,,,,,,,,,,,
BFA,water_withdrawal,,,,,,,79.31,,,,,,,80.59,,,,,,,,,58.78,,,,51.43,,,,,,,,,,,,
BGD,water_withdrawal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.82,,,,,,,,,
BGR,water_withdrawal,,,,,,,,,,,,29.69,,,,,,,,,,,,11.28,,,,,14.12,,,,,16.61,,,,,14.75
BHR,water_withdrawal,,,,,,,,,,,,56.49,,,,,,,,,,,,,44.54,,,,,,,,,,,,,33.31,
BLR,water_withdrawal,,,,,,,,,,,,,,,,,28.69,,,,,24.06,,,,,23.97,,,,,30.43,,,,,,,30.85
BLZ,water_withdrawal,,,,,,,,,90,,,,,,,,,,,,,67.72,,,,,,,,,,,,,,,,,
BOL,water_withdrawal,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,91.95,,,,,,,,
