Country,ISO,submission,submission_label,target_emissions_previous,target_emissions_subsequent,previous_submission,submission_type,submission_type_label,submission_date,indc_submission,indc_submission_label,pa_status,pa_status_label,pa_ratified,pa_ratified_label,pa_ratified_date,pa_withdraw_date,pa_sign,pa_sign_label,pa_sign_date,ndce_ghg,ndce_compare,ndce_status_2020,ndce_status_2020_label,ndce_statement,ndce_source,ndce_date,nz_status,nz_status_label,nz_source,nz_year,nz_year_label,nz_ghg,nz_ghg_label,nz_sec,nz_sec_label,nz_offset,nz_offset_label,nz_ship,nz_ship_label,nz_separate_net_gross,nz_separate_net_gross_label
Afghanistan,AFG,Only First NDC,Only First NDC,,,,First NDC,First NDC,11/23/2016,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,2/15/2017,,Yes,Yes,4/22/2016,0.20%,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,2020 NDC (Updated First NDC),New or Updated NDC,14.38,11.982068,First NDC,Updated First NDC,Updated First NDC,10/12/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,9/21/2016,,Yes,Yes,4/22/2016,0.02%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,Albania commits to reducing its emissions by 20.9% by 2030 compared to BAU.,"<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Albania%20First/Albania%20Revised%20NDC.pdf"">Albania First NDC (Updated submission</a>",10/12/2021,,,,,,,,,,,,,,,
Algeria,DZA,Only First NDC,Only First NDC,,,,First NDC,First NDC,10/20/2016,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,10/20/2016,,Yes,Yes,4/22/2016,0.45%,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,2020 NDC (Updated First NDC),New or Updated NDC,0.33,0.3342465,First NDC,Updated First NDC,Updated First NDC,5/20/2020,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,3/24/2017,,Yes,Yes,4/22/2016,0.00%,Compare with previous NDC,Submitted New or Updated NDC,Submitted New or Updated NDC,"Andorra commits to an overall 2030 emission reduction target unchanged from its 2015 NDC, while committing to carbon neutrality by 2050 and noting specific sectoral targets. ","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Andorra%20First/20200514-%20Actualitzaci%C3%B3%20NDC.pdf"">Andorra First NDC (Updated submission)</a>",5/20/2020,In Policy Document,Net-zero Target in Policy Document,"<a href=""https://unfccc.int/sites/default/files/resource/AND_LTS_Nov2021.pdf"">The Long-Term Strategy on Energy and Climate Change</a> (11/10/2021); <a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Andorra%20First/20200514-%20Actualitzaci%C3%B3%20NDC.pdf"">Andorra Updated First NDC</a> (5/19/2020)",2050,2050 as Target Year,All GHG Covered,All GHG Covered,All sectors,All Domestic Sectors Covered,International Offsets Included,International Offsets Included,Unclear or Undecided,Unclear or Undecided,Net Target Only,Net Target Only
Angola,AGO,2020 NDC (Updated First NDC),New or Updated NDC,125.61,93.2842,First NDC,Updated First NDC,Updated First NDC,5/30/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,11/16/2020,,Yes,Yes,4/22/2016,0.25%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"Angola commits to reduce emissions by 14% (unconditional) and an additional 10% (conditional) by 2025, compared to the BAU scenario.","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Angola%20First/NDC%20Angola.pdf"">Angola First NDC (Updated submission)</a>",5/30/2021,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,2020 NDC (Updated First NDC),New or Updated NDC,,n/a,First NDC,Updated First NDC,Updated First NDC,9/2/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,9/21/2016,,Yes,Yes,4/22/2016,0.00%,Compare with previous NDC,Submitted New or Updated NDC,Submitted New or Updated NDC,"Antigua and Barbuda commits to sectoral targets for electricity and transport secotrs, in addition to targets commited in its 2015 NDC.","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Antigua%20and%20Barbuda%20First/ATG%20-%20UNFCCC%20NDC%20-%202021-09-02%20-%20Final.pdf"">Antigua and Barbuda First NDC (Updated submission)</a>",9/2/2021,,,,,,,,,,,,,,,
Argentina,ARG,2020 NDC (Second NDC),New or Updated NDC,483,349,Second NDC,Updated Second NDC,Second NDC,11/2/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,9/21/2016,,Yes,Yes,4/22/2016,0.81%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,Argentina commits to an economy wide unconditional cap net emissions of 349 MtCO2e in 2030.,"<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Argentina%20Second/Actualizacio%CC%81n%20meta%20de%20emisiones%202030.pdf"">Argentina Second NDC (Updated submission)</a>",11/2/2021,In Political Pledge,Net-zero Target in Political Pledge,"<a href=""https://www.climateambitionsummit2020.org/ondemand.php"">Climate Ambition Summit 2020</a> (12/12/2020) ",2050,2050 as Target Year,GHG Coverage Unclear or Undecided,GHG Coverage Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Unclear or Undecided,Net Target Only,Net Target Only
Armenia,ARM,2020 NDC (Updated First NDC),New or Updated NDC,18.09,15.0708,First NDC,Updated First NDC,Updated First NDC,5/5/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,2/23/2017,,Yes,Yes,9/20/2016,0.02%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"Armenia commits to reduce GHG emissions by 40% by 2030, compared to 1990 level.","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Armenia%20First/NDC%20of%20Republic%20of%20Armenia%20%202021-2030.pdf"">Armenia First NDC (Updated submission)</a>",5/5/2021,,,,,,,,,,,,,,,
Australia,AUS,2020 NDC (Updated First NDC),New or Updated NDC,456.74,456.7395514,First NDC,Updated First NDC,Updated First NDC,10/28/2021,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,11/9/2016,,Yes,Yes,4/22/2016,1.27%,Compare with previous NDC,Submitted New or Updated NDC,Submitted New or Updated NDC,"Australia commits to reduce GHG emissions by 26-28% below 2005 levels by 2030, implemented as an emissions budget during 2021-2030 (indicative value 4832-4764 MtCO2e).","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Australia%20First/Australia%20Nationally%20Determined%20Contribution%20Update%20October%202021%20WEB.pdf"">Australia First NDC (Updated submission)</a> ",10/28/2021,In Policy Document,Net-zero Target in Policy Document,"<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Australia%20First/Australia%20Nationally%20Determined%20Contribution%20Update%20October%202021%20WEB.pdf"">Australia First NDC (Updated submission)</a>  (10/28/2021); <a href=""https://www.industry.gov.au/sites/default/files/October%202021/document/australias-long-term-emissions-reduction-plan.pdf"">Australia's Long-term Emissions Reduction Plan</a> (10/16/2021)",2050,2050 as Target Year,All GHG Covered,All GHG Covered,All sectors,All Domestic Sectors Covered,International Offsets Included,International Offsets Included,Unclear or Undecided,Unclear or Undecided,Separate Net and Gross Targets,Separate Net and Gross Targets
Austria,AUT,2020 NDC (Updated First NDC),New or Updated NDC,,,First NDC,Updated First NDC,Updated First NDC,12/17/2020,No Document Submitted,No Document Submitted,Joined Agreement,Joined Agreement,Yes,Yes,10/5/2016,,Yes,Yes,4/22/2016,0.14%,Compare with previous NDC,Submitted New or Updated NDC with Reduced Total Emissions,Submitted New or Updated NDC with Reduced Total Emissions,"The EU and its Member States, acting jointly, commits to reduce emissions by at least 55% by 2030 compared to 1990.","<a href=""https://www4.unfccc.int/sites/ndcstaging/PublishedDocuments/Austria%20First/EU_NDC_Submission_December%202020.pdf"">EU Updated First NDC (Austria)</a>",12/17/2020,In Policy Document,Net-zero Target in Policy Document,"<a href=""https://unfccc.int/sites/default/files/resource/LTS1_Austria.pdf"">Long-Term Strategy 2050 - Austria</a> (11/12/2020); <br><a href=""https://www.dieneuevolkspartei.at/Download/Regierungsprogramm_2020.pdf"">Integrated National Energy and Climate Plan for Austria</a> (2020)",2040,Target Year Before 2050,All GHG Covered,All GHG Covered,All sectors,All Domestic Sectors Covered,Unclear or Undecided,Unclear or Undecided,International Shipping and Aviation Included,International Shipping and Aviation Included,Net Target Only,Net Target Only
Azerbaijan,AZE,Only First NDC,Only First NDC,,,,First NDC,First NDC,1/9/2017,INDC Submitted,INDC Submitted,Joined Agreement,Joined Agreement,Yes,Yes,1/9/2017,,Yes,Yes,4/22/2016,0.16%,,,,,,,,,,,,,,,,,,,,,
